ID	Cluster__autocolour
AVC191	1
FH138	2
FH171	3
FH88	2
FH212	4
FH97	2
FH19	5
AVC219	6
AVC237	7
AVC7	8
FH22	9
FH144	10
AVC64	11
FH25	5
FH92	2
FH37	2
FH69	12
AVC38	13
FH52	14
AVC201	15
FH104	2
FH180	16
FH61	17
FH142	10
AVC5	1
FH58	18
AVC98	19
AVC235	2
AVC20	20
AVC256	21
AVC97	22
FH83	23
FH132	24
FH203	25
AVC123	26
FH166	27
AVC51	28
FH65	17
FH62	17
FH125	29
FH21	9
AVC60	1
FH150	30
AVC148	31
FH207	32
FH67	17
FH148	10
FH113	33
FH165	34
FH161	35
FH31	36
FH28	37
AVC61	20
FH101	2
FH36	38
FH206	32
FH59	39
FH46	40
FH9	41
FH146	10
FH127	2
FH111	33
FH204	25
FH123	42
FH38	2
FH174	43
FH209	32
AVC216	44
FH30	45
FH109	2
AVC242	21
FH210	46
FH98	2
AVC29	47
AVC106	48
AVC179	49
FH76	17
AVC65	50
FH192	51
FH156	52
FH15	41
FH213	4
FH27	53
FH91	2
AVC113	54
FH214	32
AVC224	55
FH1	41
AVC156	56
FH182	16
FH162	57
AVC91	44
AVC195	11
AVC252	59
AVC176	60
FH14	61
FH163	62
AVC154	63
FH44	40
AVC251	64
FH80	13
FH181	16
FH18	65
FH47	40
AVC12	66
FH35	36
AVC186	31
FH10	67
AVC30	47
AVC19	20
FH211	32
FH114	68
AVC209	6
FH124	42
AVC233	11
AVC171	69
FH141	10
FH178	51
AVC246	11
AVC161	70
FH48	71
AVC25	20
FH126	24
AVC26	20
FH39	2
FH159	51
AVC207	72
AVC79	73
FH201	74
FH175	75
FH193	76
FH5	77
FH187	78
AVC249	79
FH134	33
AVC183	80
FH50	40
AVC153	81
FH196	25
FH63	17
FH157	51
FH190	51
FH137	2
AVC213	82
FH167	83
FH75	17
FH56	84
FH155	85
FH64	17
FH23	5
FH45	40
FH93	2
FH84	23
AVC160	86
AVC10	20
FH154	87
AVC221	44
AVC184	1
FH200	88
FH96	2
FH185	16
FH71	89
FH121	90
FH68	91
FH77	17
FH195	25
FH168	92
FH8	77
AVC159	93
FH16	41
AVC80	94
FH78	2
FH60	95
FH34	36
AVC177	96
FH55	97
FH12	98
FH173	99
FH186	16
FH51	14
AVC196	44
AVC4	100
FH53	101
FH119	30
FH128	24
FH130	102
AVC211	103
FH135	104
FH99	2
FH89	2
FH120	10
FH87	105
AVC111	106
AVC210	6
FH94	2
FH20	5
FH82	13
FH151	107
AVC34	108
AVC59	109
AVC215	110
FH106	111
FH136	2
FH57	112
AVC218	113
FH172	114
AVC228	115
AVC227	116
FH95	2
FH49	40
AVC21	20
AVC155	1
AVC234	117
FH108	2
FH169	92
FH2	41
FH149	30
AVC173	118
FH176	119
AVC198	120
FH110	33
FH85	23
AVC107	121
FH7	77
FH158	51
AVC223	122
FH160	51
FH3	67
FH24	5
FH100	2
FH26	5
FH189	51
FH41	40
AVC11	20
FH4	77
FH73	17
FH122	42
FH74	17
FH164	123
FH116	68
FH72	124
FH6	67
FH11	41
FH103	2
AVC204	120
FH179	16
FH133	33
FH184	16
AVC94	125
AVC197	126
FH40	127
AVC96	128
FH42	40
FH152	129
FH183	16
FH202	130
FH198	25
FH145	10
FH170	92
FH117	68
FH81	13
FH43	40
FH188	78
FH107	2
FH66	95
FH140	10
AVC58	131
FH177	78
FH153	132
FH79	13
FH147	10
AVC167	133
FH70	134
FH139	10
FH143	10
FH105	2
FH208	32
AVC226	135
FH33	136
FH29	137
AVC126	138
AVC222	1
AVC220	139
AVC35	108
AVC200	120
FH102	2
FH199	25
FH13	41
FH131	140
FH205	25
FH54	141
FH32	142
AVC8	20
FH112	33
AVC109	143
AVC77	1
FH191	51
FH194	144
FH115	68
FH90	2
AVC105	44
FH118	10
AVC39	145
FH197	25
AVC232	11
FH129	146
FH86	23
AVC103	147
FH17	41
